RowID,StatusOverride,WorkStartDateOverride,WorkCompletionDateOverride,NoAccessAttempt1Date,NoAccessAttempt2Date,RefusedAccessDate,WorkCompletedByOtherDate,RefusedAccessDescription,StatusUpdatedAt
"EQ14088|206 AUDUBON AVENUE, 10033||John Doe",Work Completed by Other,,,,,,2025-12-16,,2025-12-16 10:51:55
"EQ14427|1530 ST NICHOLAS AVENUE, 10033||John Doe",Work Completed,2025-12-16,2025-12-16,,,,,,2025-12-16 13:58:14
"EQ14153|33 ARDEN STREET, 10040||John Doe",Work Completed,2025-12-16,2025-12-16,,,,,,2025-12-16 15:00:09
"EQ12897|81 SOUTH 9 STREET, 11249||T",No Access - 1st Attempt,,,2025-12-17,,,,,2025-12-17 10:45:49
"EQ11023|99-25 42 AVENUE, 11368||John Doe",Refused Access,,,,,2025-11-11,,Other / not specified,2025-12-17 12:25:54
"EQ14050|64-05 WOODSIDE AVENUE, 11377||T",Work Completed,2025-12-17,2025-12-17,,,,,,2025-12-17 13:15:03
"EQ14688|41-25 CASE STREET, 11373||T",Work Completed by Other,,,,,,2025-12-18,,2025-12-17 14:08:28
"EQ14304|143-45 SANFORD AVENUE, 11355||T",No Access - 1st Attempt,,,2025-12-17,,,,,2025-12-17 14:57:09
"EQ14145|67-25 DARTMOUTH STREET, 11375||John Doe",Refused Access,,,,,2025-12-18,,"Male, tall, dark hair",2025-12-18 07:51:34
"EQ12061|114-05 170 STREET, 11434||John Doe",No Access - 1st Attempt,,,2025-12-18,,,,,2025-12-18 07:52:46
"EQ11292|114-21 178 STREET, 11434||T",No Access - 1st Attempt,,,2025-12-18,,,,,2025-12-18 10:28:19
"EQ14067|190-24 WOODHULL AVENUE, 11423||John Doe",Work Completed,2025-12-18,2025-12-18,,,,,,2025-12-18 10:08:46
"EQ14007|95 FOUNTAIN AVENUE, 11208||John Doe",Work Completed,2025-12-18,2025-12-18,,,,,,2025-12-20 08:02:30
"EQ14140|97 MILLER AVENUE, 11207||T",No Access - 1st Attempt,,,2025-12-18,,,,,2025-12-20 08:30:33
"EQ13404|1505 BROADWAY, 11221||John Doe",Work Completed,2025-12-18,2025-12-18,,,,,,2025-12-20 08:31:45
"EQ12683|1925 FULTON STREET, 11233||T",Work Completed,2025-12-20,2025-12-20,,,,,,2025-12-20 14:20:55
"EQ12814|212 GREEN STREET, 11222||John Doe",Work Completed,2025-12-17,2025-12-17,,,,,,2025-12-20 15:47:19
"EQ14340|301 EAST 26 STREET, 11226||John Doe",Work Completed,2025-12-23,2025-12-23,,,,,,2025-12-23 16:08:03
"EQ10486|926 EAST 29 STREET, 11210||T",Work Completed,2025-12-23,2025-12-23,,,,,,2025-12-23 16:10:46
"EQ12322|4811 AVENUE J, 11234||T",Pending,,,,,,,,2025-12-24 10:23:36
"EQ12677|1015 AVENUE N, 11230||T",Pending,,,,,,,,2025-12-24 10:24:11
"EQ12709|2325 FOSTER AVENUE, 11210||John Doe",Work Completed,2025-12-24,2025-12-24,,,,,,2025-12-24 13:24:25
"EQ14967|354 EAST 21 STREET, 11226||John Doe",Refused Access,,,,,2025-12-24,,"Male, tall, dark hair",2025-12-24 13:37:59
"EQ14023|900 EAST 18 STREET, 11230||John Doe",Work Completed,2025-12-24,2025-12-24,,,,,,2025-12-24 13:38:53
"EQ12968|351 13 STREET, 11215||T",Work Completed,2025-12-24,2025-12-24,,,,,,2025-12-24 15:59:06
"EQ14942|1091 WILLMOHR STREET, 11212||John Doe",Work Completed,2025-12-29,2025-12-29,,,,,,2025-12-29 11:55:54
"EQ14326|761 HART STREET, 11237||T",No Access - 1st Attempt,,,2025-12-29,,,,,2025-12-29 13:23:41
"EQ13991|570 WILLOUGHBY AVENUE, 11206||John Doe",Work Completed,2025-12-22,2025-12-22,,,,,,2025-12-29 13:29:42
"EQ14002|34-32 91 STREET, 11372||John Doe",Partial Work Completed,2025-12-29,2025-12-29,,,,,,2025-12-29 15:23:00
"EQ15218|143-45 SANFORD AVENUE, 11355||T",Refused Access,,,,,2025-12-29,,Other / not specified,2025-12-29 16:06:17
"EQ14550|34-15 PARSONS BOULEVARD, 11354||T",Pending,,,,,,,"Male, short, dark hair",2025-12-29 16:15:58
"EQ14193|713 HENRY STREET, 11231||T",No Access - 1st Attempt,,,2025-12-30,,,,,2025-12-30 10:42:57
"EQ14414|330 EAST 100 STREET, 10029||T",No Access - 1st Attempt,,,2025-12-30,,,,,2025-12-30 11:32:36
"EQ14351|234 WEST 135 STREET, 10030||John Doe",Work Completed,2025-12-30,2025-12-30,,,,,,2025-12-30 14:23:32
"EQ13983|2816 FREDERICK DOUGLASS BOULEVARD, 10039||John Doe",Refused Access,,,,,2025-12-30,,"Male, tall, dark hair",2025-12-30 14:46:33
"EQ11243|2807 FREDERICK DOUGLASS BOULEVARD, 10039||John Doe",Work Completed,2025-11-07,2025-11-07,,,,,,2025-12-30 14:48:37
"EQ06352|698 AMSTERDAM AVENUE, 10025||T",No Access - 2nd Attempt,,,2026-01-06,2026-01-06,,,,2026-01-06 10:14:06
"EQ13475|2225 5 AVENUE, 10037||John Doe",Work Completed,2026-01-06,2026-01-06,,,,,,2026-01-06 12:37:00
"EQ14128|273 WEST 146 STREET, 10039||John Doe",Work In Progress,2026-01-06,2026-01-06,,,,,,2026-01-06 13:30:41
"EQ15719|503 WEST 158 STREET, 10032||T",No Access - 1st Attempt,,,2026-01-06,,,,,2026-01-06 14:18:00
"EQ14338|2763 MILL AVENUE, 11234||T",No Access - 2nd Attempt,,,2026-12-24,2026-12-30,,,,2026-01-12 17:17:16
"EQ15555|1516 JEFFERSON AVENUE, 11237||John Doe",Partial Work Completed,2026-01-14,2026-01-14,,,,,,2026-01-14 12:24:32
"EQ14614|86-02 FOREST PARKWAY, 11421||T",No Access - 2nd Attempt,,,2026-01-08,2026-01-14,,,,2026-01-14 13:10:24
"EQ16254|69-13 CENTRAL AVENUE, 11385||T",Partial Work Completed,2026-01-14,2026-01-14,,,,,,2026-01-14 14:54:32
"EQ16312|1682 PARK PLACE, 11233||T",Refused Access,,,,,2026-01-14,,"Female, tall, dark hair",2026-01-14 15:37:41
"EQ15584|2026 UNION STREET, 11212||T",No Access - 1st Attempt,,,2026-01-14,,,,,2026-01-14 15:56:42
"EQ16592|101-17 115 STREET, 11419||T",Work Completed,2026-01-15,2026-01-15,,,,,,2026-01-15 15:06:43
"EQ16597|178 AMBOY STREET, 11212||T",Work Completed,2026-01-15,2026-01-15,,,,,,2026-01-15 15:08:08
"EQ16822|1881 STARR STREET, 11385||T",No Access - 1st Attempt,,,2026-01-15,,,,,2026-01-15 15:12:47
"EQ15260|655 MORRIS AVENUE, 10451||T",Refused Access,,,,,2026-01-20,,"Female, tall, dark hair",2026-01-20 10:19:39
"EQ15012|361 EAST 163 STREET, 10451||John Doe",Work Completed,2026-01-20,2026-01-20,,,,,,2026-01-20 14:28:41
"EQ17134|806 EAST 170 STREET, 10459||T",Refused Access,,,,,2026-01-20,,"Male, short, dark hair",2026-01-20 15:51:33
"EQ13770|971 ST MARKS AVENUE, 11213||T",Work Completed,2026-01-21,2026-01-21,,,,,,2026-01-21 10:36:53
"EQ15757|433 SCHENECTADY AVENUE, 11203||John Doe",Refused Access,,,,,2026-01-21,,Other / not specified,2026-01-21 11:50:33
"EQ15093|215 COZINE AVENUE, 11207||John Doe",Refused Access,,,,,2026-01-21,,Other / not specified,2026-01-21 16:20:40
"EQ15488|1360 NEW YORK AVENUE, 11210||John Doe",Refused Access,,,,,2026-01-22,,Other / not specified,2026-01-22 10:35:00
"EQ14849|699 LINDEN BOULEVARD, 11203||T",No Access - 1st Attempt,,,2026-01-22,,,,,2026-01-22 11:16:18
"EQ11374|1052 WINTHROP STREET, 11212||T",No Access - 1st Attempt,,,2026-01-22,,,,,2026-01-22 11:45:52
"EQ15489|395 MAPLE STREET, 11225||John Doe",Refused Access,,,,,2026-01-22,,"Male, tall, dark hair",2026-01-22 12:09:31
"EQ15223|2502 CORTELYOU ROAD, 11226||John Doe",Refused Access,,,,,2026-01-22,,Other / not specified,2026-01-22 13:02:10
"EQ16852|1 TENNIS COURT, 11226||John Doe",Work In Progress,2026-01-22,2026-01-22,,,,,,2026-01-22 13:33:26
"EQ14952|15 WESTMINSTER ROAD, 11218||John Doe",Refused Access,,,,,2026-01-22,,Other / not specified,2026-01-22 13:58:57
"EQ13795|531 EAST 22 STREET, 11226||John Doe",Work Completed,2026-01-22,2026-01-22,,,,,,2026-01-22 20:46:23
"EQ15750|1252 EAST 53 STREET, 11234||T",Work Completed,2026-01-23,2026-01-23,,,,,,2026-01-23 10:58:35
"EQ16516|4200 AVENUE K, 11210||John Doe",Partial Work Completed,2026-01-23,2026-01-23,,,,,,2026-01-23 14:25:03
"EQ15073|1628 OCEAN PARKWAY, 11223||John Doe",Refused Access,,,,,2026-01-23,,"Male, tall, dark hair",2026-01-23 16:45:04
"EQ12467|118-80 METROPOLITAN AVENUE, 11415||T",Work Completed,2025-12-28,2025-12-28,,,,,,2026-01-29 10:03:40
"EQ16962|133-27 SANFORD AVENUE, 11355||T",Refused Access,,,,,2026-01-29,,"Male, tall, dark hair",2026-01-29 12:19:51
"EQ17492|139-09 34 ROAD, 11354||T",No Access - 1st Attempt,,,2026-01-29,,,,,2026-01-29 12:20:36
"EQ18184|158-17 SANFORD AVENUE, 11358||John Doe",Work Completed,2026-01-29,2026-01-29,,,,,,2026-01-29 13:43:12
"EQ17974|198-40 32 AVENUE, 11358||John Doe",Work Completed,2026-01-29,2026-01-29,,,,,,2026-01-29 15:01:20
"EQ18234|85-31 WOODHAVEN BOULEVARD, 11421||John Doe",Work Completed,2026-01-29,2026-01-29,,,,,,2026-01-29 15:06:25
"EQ16832|42-17 JUDGE STREET, 11373||John Doe",Work Completed,2026-01-21,2026-01-21,,,,,,2026-01-29 15:07:18
"EQ15868|14-20 114 STREET, 11356||T",Work Completed,2026-01-31,2026-01-31,,,,,,2026-01-31 16:24:51
"EQ12289|3101 BRIGHTON 2 STREET, 11235||T",Refused Access,,,,,2026-01-31,,"Male, short, dark hair",2026-01-31 21:45:44
"EQ18688|2911 FREDERICK DOUGLASS BOULEVARD, 10039||John Doe",Work Completed,2026-02-07,2026-02-07,,,,,,2026-02-07 14:22:51
"EQ17786|184 BRADHURST AVENUE, 10039||John Doe",Work In Progress,2026-02-07,2026-02-07,,,,,,2026-02-07 14:46:30
"EQ13366|850 EAST 165 STREET, 10459||John Doe",Work Completed,2026-02-10,2026-02-10,,,,,,2026-02-10 13:05:34
"EQ14773|1038 LOWELL STREET, 10459||John Doe",Work Completed,2026-02-10,2026-02-10,,,,,,2026-02-10 14:53:30
"EQ14109|368 EAST 155 STREET, 10455||John Doe",Refused Access,,,,,2026-02-11,,Other / not specified,2026-02-11 12:32:32
"EQ00530|909 SHERIDAN AVENUE, 10451||John Doe",Refused Access,,,,,2026-02-11,,Other / not specified,2026-02-11 13:14:29
"EQ17038|1459 WYTHE PLACE, 10452||John Doe",Work Completed,2026-02-11,2026-02-11,,,,,,2026-02-11 15:41:24
"EQ15540|1425 TOWNSEND AVENUE, 10452||John Doe",Refused Access,,,,,2026-02-11,,Other / not specified,2026-02-11 16:12:52
"EQ15239|1207 1 AVENUE, 10065||T",Work In Progress,2026-02-12,2026-02-12,,,,,,2026-02-12 09:19:50
"EQ17764|102 WEST 128 STREET, 10027||T",No Access - 1st Attempt,,,2026-02-12,,,,,2026-02-12 10:14:22
"EQ17314|143 WEST 116 STREET, 10026||John Doe",Refused Access,,,,,2026-02-12,,"Male, tall, dark hair",2026-02-12 10:37:50
"EQ18106|133 WEST 145 STREET, 10039||T",No Access - 1st Attempt,,,2026-02-12,,,,,2026-02-12 12:03:02
"EQ16921|271 WEST 146 STREET, 10039||John Doe",Work Completed,2026-02-12,2026-02-12,,,,,,2026-02-12 12:04:15
"EQ17796|348 WEST 145 STREET, 10039||John Doe",Refused Access,,,,,2026-02-12,,Other / not specified,2026-02-12 12:20:10
"EQ17785|63 HAMILTON TERRACE, 10031||John Doe",Refused Access,,,,,2026-02-12,,"Male, tall, dark hair",2026-02-12 13:03:52
"EQ13025|561 WEST 169 STREET, 10032||T",No Access - 2nd Attempt,,,2026-02-12,2026-02-12,,,,2026-02-12 13:31:14
"EQ15340|541 WEST 204 STREET, 10034||John Doe",Work Completed,2026-02-12,2026-02-12,,,,,Other / not specified,2026-02-12 15:45:13
"EQ15085|1711 EAST 15 STREET, 11229||John Doe",Refused Access,,,,,2026-02-12,,Other / not specified,2026-02-12 15:45:40
"EQ15325|5532 NETHERLAND AVENUE, 10471||John Doe",Refused Access,,,,,2026-02-17,,Other / not specified,2026-02-17 10:28:08
"EQ16619|278 EAST 237 STREET, 10470||John Doe",Work Completed,2026-02-17,2026-02-17,,,,,,2026-02-17 12:11:46
"EQ18006|806 EAST 233 STREET, 10466||T",No Access - 1st Attempt,,,2026-02-17,,,,,2026-02-17 13:00:38
"EQ17235|635 EAST 229 STREET, 10466||T",No Access - 1st Attempt,,,2026-02-17,,,,,2026-02-17 13:09:43
"EQ19652|2195 GRAND CONCOURSE, 10453||John Doe",Refused Access,,,,,2026-02-21,,Other / not specified,2026-02-21 10:51:52
"EQ16715|2342 RYER AVENUE, 10458||John Doe",Work Completed,2026-02-21,2026-02-21,,,,,,2026-02-21 12:18:43
"EQ11988|2238 MORRIS AVENUE, 10453||T",No Access - 2nd Attempt,,,2026-02-21,2026-02-21,,,,2026-02-21 12:20:13
"EQ20253|103-24 121 STREET, 11419||T",Pending,,,,,,,,2026-02-27 10:06:24

